QuestionID,AnswerID,Answer Correct/Incorrect,TA Feedback,Student Response,Error Steps,Error Type,Syntax Correction,,Notes From Mich or Uzay,,Notes From Dev
F19_HW2_Q3_P2,34,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't forget the question and don't skip steps
F19_HW2_Q3_P2,460,0,,"[""(~(~x))<->x"",""(~~x->x)^(x->~~x)"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""TvT"",""T""]","3,4",Other,,,,,Don't accidentally switch your operations
F19_HW2_Q3_P2,46,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,275,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,196,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,182,0,,"[""(~(~x))<->x"",""x->x"",""T""]","0,1",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,160,1,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,89,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,176,1,,"[""(~(~x))<->x"",""~~x<->x"",""x<->x"",""T""]",,,,,,,
F19_HW2_Q3_P2,352,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,317,1,,"[""(~(~x))<->x"",""~~x<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,222,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,416,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,402,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,14,1,,"[""(~(~x))<->x"",""x<->x"",""x->x^x->x"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,91,0,,"[""(~(~x))<->x"",""x<->x""]","0,1",Other,,,,,Complete the question
F19_HW2_Q3_P2,129,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,315,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,232,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,208,0,,"[""(~(~x))<->x"",""(x)<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,54,1,,"[""(~~x)<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,356,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,263,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,230,1,,"[""(~(~x))<->x"",""(~~x)<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,271,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,42,0,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""((~xvx)^~x)v((~xvx)^x)"",""(~x^~x)v(~x^x)v(~x^x)v(~x^x)"",""~xv(~x^x)v(~x^x)vx"",""~xvFvFvx"",""~xvx"",""T""]","4,5",Other,,,,,Don't mix up your negatives
F19_HW2_Q3_P2,172,0,,"[""(~(~x))<->x)"",""x<->x"",""T""]",0,Syntax,"[""(~(~x))<->x"",""x<->x"",""T""]",,,,Don't add unnecessary parentheses and don't skip steps
F19_HW2_Q3_P2,0,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,2,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,4,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,6,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,8,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,10,0,,"[""(~(~x))<->x"",""x<->x"",""~xvx"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,12,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,16,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)v(~xvx)"",""TvT"",""T""]","2,3",Other,,,,,Don't accidentally switch your operations
F19_HW2_Q3_P2,18,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,20,1,,"[""(~(~x))<->x"",""x<->x"",""(x<-x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,22,0,,"[""(~(~x))<->x"",""x<->x""]","0,1",Other,,,,,Complete the question
F19_HW2_Q3_P2,24,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,26,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,28,1,,"[""(~(~x))<->x"",""x<->x"",""(x<-x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,30,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,32,0,,"[""(~(~x))x"",""x<->x"",""T""]",0,Other,,,,,Don't forget operations and don't skip steps
F19_HW2_Q3_P2,36,0,,"[""(~(~x))<->x"",""x<->x"",""x->x^x->x"",""TvT"",""T""]","2,3",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,38,0,,"[""(~(~x))x"",""(x<->x)"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,40,0,,"[""(~(~x))x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,44,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,48,1,,"[""(~(~x))x"",""((~(~x))->x)^(x->(~(~x)))"",""(~(~(~x))vx)^(~xv(~(~x)))"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,50,0,,"[""(~(~x))x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,52,1,,"[""(~(~x))<->x"",""(~~xx<->x)^(x->~~x)"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,56,0,,"[""(~(~x))<->x"",""x<->x"",""(x<-x)^(x->x)"",""x<->x"",""~xvx"",""T""]","2,3",Other,,,,,Don't mix up operations
F19_HW2_Q3_P2,58,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,60,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,62,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,64,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,66,1,,"[""(~(~x))<->x"",""(~~x)<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)v(~xvx)"",""TvT"",""T""]",,,,,,,
F19_HW2_Q3_P2,68,0,,"[""(~(~x))<->x"",""((x))<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,70,0,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""T""]","2,3",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,72,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,74,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,76,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,78,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,82,0,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""T^T"",""T""]","2,3",Skipped Steps,,,,,
F19_HW2_Q3_P2,84,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps and don't forget to put the question
F19_HW2_Q3_P2,87,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,93,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,95,0,,"[""(~(~x))<->x"",""x<->x"",""~xvx"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,97,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(x->x)"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,99,0,,"[""~~x<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,101,0,,"[""(~(~x))<->x"",""((~(~x))->x)^(~(~(~x))->(~x))"",""(x->x)^(~x->~x)"",""(~xvx)^(~x(~x)v~x)"",""Tv(xv~x)"",""TvT"",""T""]","2,3",Other,,,,,Don't add extra variables and don't accidentally switch your variables
F19_HW2_Q3_P2,103,1,,"[""(~(~x))<->x"",""(~~x)<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,105,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,107,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,109,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,111,0,,"[""(~(~x))<->x"",""(~(~x))->x^x->(~(~x))"",""T^T"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,113,0,,"[""(~(~x))<->x"",""~~x=x""]","0,1",Other,,,,,Didn't complete the question
F19_HW2_Q3_P2,115,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(x->x)"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,117,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,119,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,121,0,,"[""(~(~x))<->x"",""~~x<->x"",""x<->x"",""T""]","2,3",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,123,1,,"[""(~(~x))<->x"",""((~(~x))->x)^(x->(~(~x)))"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""(T)^(T)"",""T""]",,,,,,,
F19_HW2_Q3_P2,125,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,127,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,131,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(x->x)"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,137,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,139,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,141,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,143,0,,"[""(~(~x))<->x"",""(x<->x)"",""(x->x)^(x->x)"",""~xvx"",""T""]","2,3",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,145,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,147,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,151,0,,"[""(~(~x))<->x"",""~(~~x)vx"",""~xvx"",""T""]","0,1",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,153,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,154,0,,"[""(~(~x))<->x"",""x<->x"",""(x->x)v(x->x)"",""(x->x)"",""~xvx"",""T""]","1,2",Other,,,,,Don't mix up your operations
F19_HW2_Q3_P2,156,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(x->x)"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,162,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,164,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,166,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(x->x)"",""(xv~x)^(xv~x)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,168,0,,"[""(~(~x))<->x"",""x<->x""]","0,1",Other,,,,,Didn't complete the question
F19_HW2_Q3_P2,170,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,174,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""~xv(x^x)"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,178,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,180,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,184,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,188,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,190,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,192,0,,"[""(~(~x))<->x"",""~~x<->x"",""x<->x"",""T^T"",""T""]","2,3",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,194,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,198,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,200,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,202,0,,"[""(~(~x))<->x"",""(x)<->x"",""(x->x)^(x->x)"",""(~xvx)"",""T""]","2,3",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,204,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,206,1,,"[""(~(~x))<->x"",""x<->x"",""x->x^x->x"",""~xvx^~xvx"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,210,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,212,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,214,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,216,1,,"[""(~(~x))<->x"",""(~~x)<->x"",""(x)<->x"",""(x->x)^x<-x"",""(~xvx)^x<-x"",""T^x<-x"",""T""]",,,,,,,
F19_HW2_Q3_P2,218,0,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""T^T"",""T""]","2,3",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,220,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,224,0,,"[""(~(~x))<->x"",""x<->x"",""~xvx"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,226,1,,"[""(~(~x))<->x"",""(~(~x)->x)^(x->~(~x))"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,228,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,236,0,,"[""(~(~x))<->x"",""x<->x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,238,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,240,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,242,0,,"[""(~(~(x))<->x"",""x<->x"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",0,Syntax,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,Make sure you close your parentheses
F19_HW2_Q3_P2,244,0,,"[""(~(~x))<->x"",""x<->x"",""(x^x)v(~x^~x)"",""xv~x"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
F19_HW2_Q3_P2,246,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,249,1,,"[""(~(~x))<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,251,1,,"[""(~(~x))<->x"",""x<->x"",""x->x^x->x"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,253,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,255,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""(~xvx)^(~xvx)"",""T^T"",""T""]",,,,,,,
F19_HW2_Q3_P2,257,0,,"[""(~(~x))<->x"",""x<->x""]","0,1",Other,,,,,Complete the question and don't skip steps
F19_HW2_Q3_P2,259,1,,"[""(~(~x))<->x"",""x<->x"",""(x->x)^(x->x)"",""x->x"",""~xvx"",""T""]",,,,,,,
F19_HW2_Q3_P2,261,0,,"[""(~(~x))<->x)"",""x<->x"",""T""]",0,Syntax,"[""(~(~x))<->x"",""x<->x"",""T""]",,,,Make sure you don't have extra close parentheses and don't skip steps
F19_HW2_Q3_P2,265,0,,"[""(~(~x))<->x"",""x<->x"",""(x^x)v(~x^~x)"",""TvT"",""T""]","2,3",Negation,,,,,Negation was used incorrectly. Should have used idempotence and don't skip steps
